"","l_W","l_L","l_GS","l_CG","l_SHO","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_WP","l_HBP","l_BFP","l_R","l_SH","l_SF","l_GIDP","round","po_L","po_GS","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_BFP","po_R","GP","salary","kwERA","BSR","l_GM","attendance.f","career","b1.WHIP","b1.FIP","b1.kwERA","b1.BSR","b1.round","b1.l_GM","b2.WHIP","b2.kwERA","b2.BSR","b2.round"
"68",4,2,0,0,0,166,47,14,1,14,41,4,4,225,14,1,1,6,1,0,0,35,5,0,0,2,2,38,0,0,6e+06,6.68,16.31274473158,62,3,12,1.30693069306931,4.15049504950495,5.81095890410959,14.1714465456431,0,39,1.26315789473684,6.83820224719101,21.9024381100547,1
"69",2,2,0,0,0,106,43,23,6,14,21,1,2,163,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6e+06,5.91533742331288,29.8297201418999,52,3,13,1.10240963855422,2.87469879518072,6.68,16.31274473158,1,62,1.30693069306931,5.81095890410959,14.1714465456431,0
"70",1,2,0,0,0,143,47,26,11,18,38,1,4,210,28,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3500000,6.42857142857143,39.0146093173253,54,2,15,0.975369458128079,3.98325123152709,6.83820224719101,29.2355384209018,0,61,1.21076233183857,7.04169381107492,39.2478084242036,0
"71",5,5,11,0,0,205,72,31,8,27,52,2,1,298,34,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,315000,6.36644295302013,43.6702853448736,3,3,2,1.32467532467532,4.05714285714286,5.62222222222222,10.2365609489358,0,2,2.5,5.4,4.06706641465163,0
"72",0,1,7,0,0,92,39,33,6,20,20,4,5,151,34,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,322500,5.00264900662252,31.8861958358842,0,2,3,1.44878048780488,4.42926829268293,6.36644295302013,43.6702853448736,0,3,1.32467532467532,5.62222222222222,10.2365609489358,0
"73",5,1,0,0,0,103,41,20,6,16,21,0,3,158,23,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,403075,5.70379746835443,29.8097269665799,32,3,2,1.53658536585366,3.56585365853659,6.84827586206897,8.08893738014944,0,7,0.627906976744186,7.51764705882353,2.96766143132537,0
"74",0,0,0,0,0,34,9,5,1,8,8,0,2,50,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,403075,5.16,6.06765392027589,10,3,3,1.66019417475728,5.73398058252427,5.70379746835443,29.8097269665799,0,32,1.53658536585366,6.84827586206897,8.08893738014944,0
"75",0,0,0,0,0,9,5,3,1,0,2,0,1,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,403075,6.2,3.85754189944134,3,1,5,1.5,5.31764705882353,5.16,6.06765392027589,0,10,1.66019417475728,5.70379746835443,29.8097269665799,0
"76",3,6,0,0,0,201,80,41,3,36,49,3,2,309,43,5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,680000,5.94368932038835,41.9294331891646,56,1,3,1.3265306122449,4.60816326530612,5.57307692307692,23.9161543583629,0,25,1.59939759036145,5.87244094488189,89.4997817666826,0
"77",5,3,0,0,0,227,78,38,6,34,49,2,2,329,41,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,875000,6.0565349544073,43.0643786576036,62,0,4,1.73134328358209,3.8865671641791,5.94368932038835,41.9294331891646,0,56,1.3265306122449,5.57307692307692,23.9161543583629,0
